game_id,attendance,team,tie,stage,round,year,date,time,home,lat,long,goals,team_num
73,47500,Spain,FALSE,GROUP STAGE,first,1982,20-06-1982 (21:00 h),21:00,Spain,22.1648245,-101.0045432,2,1
73,47500,Yugoslavia,FALSE,GROUP STAGE,first,1982,20-06-1982 (21:00 h),21:00,Spain,22.1648245,-101.0045432,1,2
74,22000,Algeria,FALSE,GROUP STAGE,first,1982,21-06-1982 (17:15 h),17:15,Spain,43.360742,-5.870283,0,1
74,22000,Austria,FALSE,GROUP STAGE,first,1982,21-06-1982 (17:15 h),17:15,Spain,43.360742,-5.870283,2,2
75,30043,France,FALSE,GROUP STAGE,first,1982,21-06-1982 (17:15 h),17:15,Spain,41.644608,-4.761273,4,1
75,30043,Kuwait,FALSE,GROUP STAGE,first,1982,21-06-1982 (17:15 h),17:15,Spain,41.644608,-4.761273,1,2
76,15000,Honduras,FALSE,GROUP STAGE,first,1982,21-06-1982 (21:00 h),21:00,Spain,41.6350994,-0.8985067,1,1
76,15000,Northern Ireland,FALSE,GROUP STAGE,first,1982,21-06-1982 (21:00 h),21:00,Spain,41.6350994,-0.8985067,1,2
77,16000,Poland,FALSE,GROUP STAGE,first,1982,22-06-1982 (17:15 h),17:15,Spain,43.36872,-8.417484,5,1
77,16000,Peru,FALSE,GROUP STAGE,first,1982,22-06-1982 (17:15 h),17:15,Spain,43.36872,-8.417484,1,2
78,22000,Belgium,FALSE,GROUP STAGE,first,1982,22-06-1982 (21:00 h),21:00,Spain,38.278536,-0.707856,1,1
78,22000,Hungary,FALSE,GROUP STAGE,first,1982,22-06-1982 (21:00 h),21:00,Spain,38.278536,-0.707856,1,2
79,30000,Soviet Union,FALSE,GROUP STAGE,first,1982,22-06-1982 (21:00 h),21:00,Spain,36.7355448,-4.426569,2,1
79,30000,Scotland,FALSE,GROUP STAGE,first,1982,22-06-1982 (21:00 h),21:00,Spain,36.7355448,-4.426569,2,2
80,17000,Italy,FALSE,GROUP STAGE,first,1982,23-06-1982 (17:15 h),17:15,Spain,42.211947,-8.73973,1,1
80,17000,Cameroon,FALSE,GROUP STAGE,first,1982,23-06-1982 (17:15 h),17:15,Spain,42.211947,-8.73973,1,2
81,18000,Argentina,FALSE,GROUP STAGE,first,1982,23-06-1982 (21:00 h),21:00,Spain,38.357446,-0.492724,2,1
81,18000,El Salvador,FALSE,GROUP STAGE,first,1982,23-06-1982 (21:00 h),21:00,Spain,38.357446,-0.492724,0,2
82,32000,Brazil,FALSE,GROUP STAGE,first,1982,23-06-1982 (21:00 h),21:00,Spain,37.356504,-5.981752,4,1
82,32000,New Zealand,FALSE,GROUP STAGE,first,1982,23-06-1982 (21:00 h),21:00,Spain,37.356504,-5.981752,0,2
83,18000,Algeria,FALSE,GROUP STAGE,first,1982,24-06-1982 (17:15 h),17:15,Spain,43.360742,-5.870283,3,1
83,18000,Chile,FALSE,GROUP STAGE,first,1982,24-06-1982 (17:15 h),17:15,Spain,43.360742,-5.870283,2,2
84,28000,France,FALSE,GROUP STAGE,first,1982,24-06-1982 (17:15 h),17:15,Spain,41.644608,-4.761273,1,1
84,28000,Czechoslovakia,FALSE,GROUP STAGE,first,1982,24-06-1982 (17:15 h),17:15,Spain,41.644608,-4.761273,1,2
85,12000,Honduras,FALSE,GROUP STAGE,first,1982,24-06-1982 (21:00 h),21:00,Spain,41.6350994,-0.8985067,0,1
85,12000,Yugoslavia,FALSE,GROUP STAGE,first,1982,24-06-1982 (21:00 h),21:00,Spain,41.6350994,-0.8985067,1,2
86,41000,FRG,FALSE,GROUP STAGE,first,1982,25-06-1982 (17:15 h),17:15,Spain,43.538898,-5.645742,1,1
86,41000,Austria,FALSE,GROUP STAGE,first,1982,25-06-1982 (17:15 h),17:15,Spain,43.538898,-5.645742,0,2
87,31000,England,FALSE,GROUP STAGE,first,1982,25-06-1982 (17:15 h),17:15,Spain,43.263513,-2.948131,1,1
87,31000,Kuwait,FALSE,GROUP STAGE,first,1982,25-06-1982 (17:15 h),17:15,Spain,43.263513,-2.948131,0,2
88,49562,Northern Ireland,FALSE,GROUP STAGE,first,1982,25-06-1982 (21:00 h),21:00,Spain,22.1648245,-101.0045432,1,1
88,49562,Spain,FALSE,GROUP STAGE,first,1982,25-06-1982 (21:00 h),21:00,Spain,22.1648245,-101.0045432,0,2
89,30000,Austria,FALSE,GROUP STAGE,second,1982,28-06-1982 (17:15 h),17:15,Spain,40.401724,-3.720635,0,1
89,30000,France,FALSE,GROUP STAGE,second,1982,28-06-1982 (17:15 h),17:15,Spain,40.401724,-3.720635,1,2
90,30000,Poland,FALSE,GROUP STAGE,second,1982,28-06-1982 (21:00 h),21:00,Spain,41.380896,2.12282,3,1
90,30000,Belgium,FALSE,GROUP STAGE,second,1982,28-06-1982 (21:00 h),21:00,Spain,41.380896,2.12282,0,2
91,39000,Italy,FALSE,GROUP STAGE,second,1982,29-06-1982 (17:15 h),17:15,Spain,41.3996039,2.1191034,2,1
91,39000,Argentina,FALSE,GROUP STAGE,second,1982,29-06-1982 (17:15 h),17:15,Spain,41.3996039,2.1191034,1,2
92,75000,FRG,FALSE,GROUP STAGE,second,1982,29-06-1982 (21:00 h),21:00,Spain,40.453054,-3.688344,0,1
92,75000,England,FALSE,GROUP STAGE,second,1982,29-06-1982 (21:00 h),21:00,Spain,40.453054,-3.688344,0,2
93,24000,Austria,FALSE,GROUP STAGE,second,1982,1-07-1982 (17:15 h),17:15,Spain,40.401724,-3.720635,2,1
93,24000,Northern Ireland,FALSE,GROUP STAGE,second,1982,1-07-1982 (17:15 h),17:15,Spain,40.401724,-3.720635,2,2
94,25000,Belgium,FALSE,GROUP STAGE,second,1982,1-07-1982 (21:00 h),21:00,Spain,41.380896,2.12282,0,1
94,25000,Soviet Union,FALSE,GROUP STAGE,second,1982,1-07-1982 (21:00 h),21:00,Spain,41.380896,2.12282,1,2
95,44000,Argentina,FALSE,GROUP STAGE,second,1982,2-07-1982 (17:15 h),17:15,Spain,41.3996039,2.1191034,1,1
95,44000,Brazil,FALSE,GROUP STAGE,second,1982,2-07-1982 (17:15 h),17:15,Spain,41.3996039,2.1191034,3,2
96,90089,FRG,FALSE,GROUP STAGE,second,1982,2-07-1982 (21:00 h),21:00,Spain,40.453054,-3.688344,2,1
96,90089,Spain,FALSE,GROUP STAGE,second,1982,2-07-1982 (21:00 h),21:00,Spain,40.453054,-3.688344,1,2
97,30000,France,FALSE,GROUP STAGE,second,1982,4-07-1982 (17:15 h),17:15,Spain,40.401724,-3.720635,4,1
97,30000,Northern Ireland,FALSE,GROUP STAGE,second,1982,4-07-1982 (17:15 h),17:15,Spain,40.401724,-3.720635,1,2
98,45000,Poland,FALSE,GROUP STAGE,second,1982,4-07-1982 (21:00 h),21:00,Spain,41.380896,2.12282,0,1
